Citra,Lable,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195
/content/Crop ROI/ta/ta106.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,5,33,0,0,7,56,0,0,9,87,0,8,0,96,0,38,0,39,0,20,0,2,0,0,48,91,0,0,30,114,0,0,22,113,0,0,11,93,0,8,0,96,0,83,0,43,0,128,0,21,0,0,19,21,0,0,3,7,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,1,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta56.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,34,0,0,11,85,0,0,1,103,0,16,0,86,0,19,0,61,0,18,0,29,0,8,0,10,0,0,55,84,6,0,13,91,0,0,1,103,0,12,0,92,0,34,0,92,0,56,0,88,0,95,0,59,0,0,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,20,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta2.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,0,11,18,54,0,18,7,76,0,22,3,76,0,34,0,64,0,25,0,24,0,9,0,8,0,20,82,52,0,28,33,56,0,15,10,76,0,22,3,73,0,39,0,65,0,71,1,72,0,77,23,56,0,1,17,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,11,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta110.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,5,41,0,0,8,56,0,0,2,96,0,10,0,86,0,23,1,33,0,15,1,9,0,0,42,116,0,0,19,125,0,0,18,120,0,0,7,97,0,18,0,86,0,46,3,92,0,94,25,38,0,0,10,12,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,12,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta47.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,0,0,21,85,0,1,3,134,0,15,0,117,0,39,0,59,0,35,0,21,0,10,0,3,0,0,63,73,0,0,23,69,0,1,6,55,0,13,0,55,0,39,0,57,0,101,0,34,0,127,0,6,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta1.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6,0,1,1,13,0,2,0,14,0,3,0,6,0,1,0,0,0,11,17,23,0,33,38,49,0,46,32,73,0,12,9,130,0,10,0,150,0,88,16,52,0,45,4,0,1,35,62,42,10,27,30,24,0,12,10,8,0,2,1,12,0,2,0,14,0,25,4,6,1,111,4,0,35,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta101.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0,0,16,55,0,0,13,89,0,3,1,116,0,38,0,66,0,38,0,21,0,13,0,3,0,0,66,88,0,0,34,98,0,0,15,81,0,3,1,76,0,34,0,60,0,92,0,43,0,122,0,20,0,0,14,8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta43.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,26,60,0,0,19,116,0,12,0,132,0,33,0,90,0,44,0,49,0,29,0,11,0,0,86,55,0,0,44,65,0,0,13,54,0,8,0,48,0,24,0,55,0,53,0,49,0,108,0,31,0,0,27,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta45.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,8,13,0,0,31,48,0,0,21,120,0,13,11,120,0,32,0,112,0,57,0,59,0,41,0,18,0,0,90,55,0,0,47,68,0,0,16,45,0,2,2,49,0,14,0,39,0,43,0,43,0,105,0,27,0,0,30,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta53.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,0,0,9,52,0,0,9,83,0,0,0,104,0,0,0,104,0,20,0,80,0,32,0,38,0,9,50,102,6,0,24,111,0,0,15,97,0,0,0,104,0,0,0,104,0,24,0,80,0,66,0,60,0,9,12,19,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
